# char <TAB> keywords
#
# Transcribed from the Texpand backup of 2026-08-18, which is where
# these lived on Android. Grouped by theme rather than one file per
# shortcut; the popup addresses this file by the sigil in its name.

# ---- hearts ----
# The <3 array.

🎚🎹🎹🎹🎛	MUSIC
♩♪♫♬	MUSIC
📻🎶🎵	MUSIC
🔈🔉🔊	MUSIC
👩🏻‍💻🎹👩🏼‍🎤🎤🎸🥁	MUSIC
💃🕺	MUSIC
💃🏼🕺🏽	MUSIC
𝄞	MUSIC MUSICAL SYMBOL G CLEF
♯	MUSIC MUSIC SHARP SIGN
♮	MUSIC MUSIC NATURAL SIGN
𝅗𝅥	MUSIC MUSICAL SYMBOL HALF NOTE
♭	MUSIC MUSIC FLAT SIGN
𝅝	MUSIC MUSICAL SYMBOL WHOLE NOTE
𝅘𝅥𝅮	MUSIC MUSICAL SYMBOL EIGHTH NOTE
𝄢	MUSIC MUSICAL SYMBOL F CLEF
𝅘𝅥	MUSIC MUSICAL SYMBOL QUARTER NOTE
𝅘𝅥𝅯	MUSIC MUSICAL SYMBOL SIXTEENTH NOTE
𝄐	MUSIC MUSICAL SYMBOL FERMATA
𝆵	MUSIC RETICLE MARK
𝆴	MUSIC RETICLE MARK ALT
𝆯	MUSIC FLOWER ORNAMENT
(𝅨 𝅨  𝅨 𝅨  )	MUSIC BODY FRAME ORNAMENT KIT

# ---- boxes, ticks and crosses ----
# The /box array.

☑	BOX
☐	BOX BALLOT BOX
☒	BOX BALLOT BOX WITH X
⚪	BOX MEDIUM WHITE CIRCLE
🔘	BOX RADIO BUTTON
⭕	BOX HEAVY LARGE CIRCLE
☑️	BOX
✔️	BOX
❎	BOX NEGATIVE SQUARED CROSS MARK
✅	BOX WHITE HEAVY CHECK MARK
🗳	BOX BALLOT BOX WITH BALLOT
❎❌❌‼️❎❎	CROSS NO WRONG EMPHATIC ROW

# ---- fullwidth punctuation ----
# The /fw array -- ASCII punctuation at fullwidth, for the spaced-out
# look Astrid actually types in.

．	FULLWIDTH FULLWIDTH FULL STOP
！	FULLWIDTH FULLWIDTH EXCLAMATION MARK
＂	FULLWIDTH FULLWIDTH QUOTATION MARK
＃	FULLWIDTH FULLWIDTH NUMBER SIGN
＄	FULLWIDTH FULLWIDTH DOLLAR SIGN
％	FULLWIDTH FULLWIDTH PERCENT SIGN
＆	FULLWIDTH FULLWIDTH AMPERSAND
＇	FULLWIDTH FULLWIDTH APOSTROPHE
（	FULLWIDTH FULLWIDTH LEFT PARENTHESIS
）	FULLWIDTH FULLWIDTH RIGHT PARENTHESIS
＊	FULLWIDTH FULLWIDTH ASTERISK
＋	FULLWIDTH FULLWIDTH PLUS SIGN
，	FULLWIDTH FULLWIDTH COMMA
－	FULLWIDTH FULLWIDTH HYPHEN-MINUS
／	FULLWIDTH FULLWIDTH SOLIDUS
：	FULLWIDTH FULLWIDTH COLON
；	FULLWIDTH FULLWIDTH SEMICOLON
＜	FULLWIDTH FULLWIDTH LESS-THAN SIGN
＝	FULLWIDTH FULLWIDTH EQUALS SIGN
＞	FULLWIDTH FULLWIDTH GREATER-THAN SIGN
？	FULLWIDTH FULLWIDTH QUESTION MARK
＠	FULLWIDTH FULLWIDTH COMMERCIAL AT
［	FULLWIDTH FULLWIDTH LEFT SQUARE BRACKET
＼	FULLWIDTH FULLWIDTH REVERSE SOLIDUS
］	FULLWIDTH FULLWIDTH RIGHT SQUARE BRACKET
＾	FULLWIDTH FULLWIDTH CIRCUMFLEX ACCENT
＿	FULLWIDTH FULLWIDTH LOW LINE
｀	FULLWIDTH FULLWIDTH GRAVE ACCENT
〜	FULLWIDTH WAVE DASH

# ---- maths and symbols ----
# The one-off symbol shortcuts, and the var- set: mathematical
# monospace letters, for writing variables in prose.

∞	INFINITY FOREVER ENDLESS
°	DEGREES DEGREE TEMPERATURE
×	TIMES MULTIPLY CROSS BY
ℝ	REALS DOUBLE STRUCK R MATH SET
ℤ	INTEGERS DOUBLE STRUCK Z MATH SET
§	SECTION SILCROW LEGAL
№	NUMERO NUMBER SIGN
:≫	MUCH GREATER THAN SMIRK
⧸	SOLIDUS BIG SLASH DIVIDE
₋	SUBSCRIPT MINUS SMALL DASH
–	ENDASH EN DASH
—	EMDASH EM DASH
𝚒	VARIABLE I MONOSPACE MATH
𝚓	VARIABLE J MONOSPACE MATH
𝚒，𝚓	VARIABLE I J PAIR MONOSPACE MATH
𝚖	VARIABLE M MONOSPACE MATH
𝚗	VARIABLE N MONOSPACE MATH
𝒙	VARIABLE X ITALIC MATH
𝑦	VARIABLE Y ITALIC MATH

# ---- invisible and spacing characters ----
# The characters with nothing to see. Paste-only by definition --
# there is no way to type most of these, which is why they are here.

‌	ZWNJ ZERO WIDTH NON JOINER INVISIBLE
 	HAIR SPACE THIN NARROW INVISIBLE
؜	RTL ARABIC LETTER MARK DIRECTION INVISIBLE
⠀	BLANK BRAILLE SPACE INVISIBLE PADDING
⠀⠀⠀⠀	BLANK BRAILLE INDENT TAB PADDING WIDE
‍	ZWJ ZERO WIDTH JOINER INVISIBLE EMOJI GLUE
